<<MagicLearning[Model:defaultModel]>>;EN;ES;FR;
5	Eponimia;0.0;1.0;-1.0;
5	La;0.0;0.0;0.0;
5	See;1.0;0.0;-1.0;
5.1	Présentation;0.0;0.0;0.0;
5.2	Formes;0.0;0.0;0.0;
5.2.1	Formes;0.0;0.0;0.0;
5.2.2	Le;0.0;0.0;0.0;
5.2.3	Matériau;0.0;0.0;0.0;
5.3	La;0.0;0.0;0.0;
5.3.1	L'âme;0.0;0.0;0.0;
5.3.2	Le;0.0;0.0;0.0;
5.4	La;0.0;0.0;0.0;
5.4.1	L'âme;0.0;0.0;0.0;
5.4.2	Le;0.0;0.0;0.0;
5.4.3	L'union;0.0;0.0;0.0;
500;0.0;0.0;0.0;
529;0.0;0.0;0.0;
52936.;0.0;0.0;0.0;
53c);0.0;0.0;0.0;
54.;0.0;0.0;0.0;
55);0.0;0.0;0.0;
59b);0.0;0.0;0.0;
5th;0.0;0.0;0.0;
6	La;0.0;0.0;0.0;
6	Notes;1.0;0.0;-1.0;
6	Véase;0.0;0.0;0.0;
6.1	Origine;0.0;0.0;0.0;
6.2	La;0.0;0.0;0.0;
6.3	Classification;0.0;0.0;0.0;
6.4	Le;0.0;0.0;0.0;
6.5	Le;0.0;0.0;0.0;
6.6	La;0.0;0.0;0.0;
605/4;0.0;0.0;0.0;
636e;0.0;0.0;0.0;
64.;0.0;0.0;0.0;
65.;0.0;0.0;0.0;
67.;0.0;0.0;0.0;
67b;0.0;0.0;0.0;
7	Footnotes;1.0;0.0;-1.0;
7	Le;0.0;0.0;0.0;
7	Notas;0.0;1.0;-1.0;
7.1	Le;0.0;0.0;0.0;
7.2	Traditions;0.0;0.0;0.0;
7.3	Les;0.0;0.0;0.0;
7.4	Les;0.0;0.0;0.0;
7.5	Platon;0.0;0.0;0.0;
7.514a);0.0;0.0;0.0;
77.;0.0;0.0;0.0;
7th;0.0;0.0;0.0;
8	References;1.0;0.0;-1.0;
8	Referencias;0.0;1.0;-1.0;
8	Œuvres;0.0;0.0;0.0;
8.1	L'enseignement;0.0;0.0;0.0;
8.1	Primary;0.0;0.0;0.0;
8.2	Les;-1.0;0.0;1.0;
8.2	Secondary;1.0;0.0;-1.0;
8.3	Détails;0.0;0.0;0.0;
8.4	Éditions;0.0;0.0;0.0;
8.5	Traductions;0.0;0.0;0.0;
80/81;0.0;0.0;0.0;
81b;0.0;0.0;0.0;
895;0.0;0.0;0.0;
9	Bibliografía;0.0;1.0;-1.0;
9	Further;1.0;0.0;-1.0;
9	Notes;0.0;0.0;0.0;
9.1	Notes;0.0;0.0;0.0;
9.1	Obra;0.0;1.0;-1.0;
9.2	Bibliografía;0.0;1.0;-1.0;
9.2	Œuvres;0.0;0.0;0.0;
9.3	Références;0.0;0.0;0.0;
900;0.0;0.0;0.0;
97d–98a).[64];0.0;0.0;0.0;
987b1–11).;0.0;0.0;0.0;
9p.;0.0;0.0;0.0;
9th-13th;0.0;0.0;0.0;
AD.;0.0;0.0;0.0;
AD.[125];0.0;0.0;0.0;
Academia;0.0;1.0;-1.0;
Academia);0.0;0.0;0.0;
Academia:;0.0;0.0;0.0;
Academia–.;0.0;0.0;0.0;
Academo;0.0;0.0;0.0;
Academus;0.0;0.0;0.0;
Academus.[44];0.0;0.0;0.0;
Academy;1.0;-1.0;0.0;
Academy).[17];0.0;0.0;0.0;
